Model: gemma_7b-instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 42554.37 seconds
Average inference time per article: 21.1 seconds
Inference times per article:
Article 444: 38.26 seconds
Article 445: 16.22 seconds
Article 446: 20.92 seconds
Article 447: 29.53 seconds
Article 448: 21.32 seconds
Article 449: 38.56 seconds
Article 450: 30.31 seconds
Article 451: 8.23 seconds
Article 452: 26.56 seconds
Article 453: 35.55 seconds
Article 454: 17.38 seconds
Article 455: 6.37 seconds
Article 456: 13.92 seconds
Article 457: 22.23 seconds
Article 458: 10.01 seconds
Article 459: 12.59 seconds
Article 460: 0.00 seconds
Article 461: 1.02 seconds
Article 462: 12.65 seconds
Article 463: 16.28 seconds
Article 464: 23.24 seconds
Article 465: 18.08 seconds
Article 466: 9.86 seconds
Article 467: 27.01 seconds
Article 468: 3.83 seconds
Article 469: 23.78 seconds
Article 470: 13.13 seconds
Article 471: 20.27 seconds
Article 472: 23.89 seconds
Article 473: 21.27 seconds
Article 474: 34.91 seconds
Article 475: 25.77 seconds
Article 476: 32.67 seconds
Article 477: 28.71 seconds
Article 478: 18.76 seconds
Article 479: 26.32 seconds
Article 480: 9.98 seconds
Article 481: 37.16 seconds
Article 482: 41.51 seconds
Article 483: 10.85 seconds
Article 484: 28.45 seconds
Article 485: 16.71 seconds
Article 486: 12.54 seconds
Article 487: 14.20 seconds
Article 488: 40.12 seconds
Article 489: 36.02 seconds
Article 490: 8.75 seconds
Article 491: 33.55 seconds
Article 492: 10.88 seconds
Article 493: 33.30 seconds
Article 494: 33.73 seconds
Article 495: 29.58 seconds
Article 496: 11.96 seconds
Article 497: 27.54 seconds
Article 498: 22.16 seconds
Article 499: 14.42 seconds
Article 500: 7.73 seconds
Article 501: 24.36 seconds
Article 502: 35.31 seconds
Article 503: 11.44 seconds
Article 504: 35.19 seconds
Article 505: 6.57 seconds
Article 506: 45.87 seconds
Article 507: 25.12 seconds
Article 508: 32.09 seconds
Article 509: 36.98 seconds
Article 510: 29.01 seconds
Article 511: 32.07 seconds
Article 512: 28.28 seconds
Article 513: 23.18 seconds
Article 514: 27.81 seconds
Article 515: 22.56 seconds
Article 516: 14.95 seconds
Article 517: 15.81 seconds
Article 518: 29.96 seconds
Article 519: 11.54 seconds
Article 520: 28.56 seconds
Article 521: 10.86 seconds
Article 522: 32.32 seconds
Article 523: 23.84 seconds
Article 524: 19.17 seconds
Article 525: 25.40 seconds
Article 526: 30.34 seconds
Article 527: 46.34 seconds
Article 528: 9.13 seconds
Article 529: 23.41 seconds
Article 530: 2.06 seconds
Article 531: 26.22 seconds
Article 532: 15.00 seconds
Article 533: 21.86 seconds
Article 534: 0.00 seconds
Article 535: 30.04 seconds
Article 536: 33.75 seconds
Article 537: 18.69 seconds
Article 538: 9.11 seconds
Article 539: 8.20 seconds
Article 540: 35.22 seconds
Article 541: 28.29 seconds
Article 542: 31.63 seconds
Article 543: 31.23 seconds
Article 544: 19.19 seconds
Article 545: 25.98 seconds
Article 546: 22.82 seconds
Article 547: 23.61 seconds
Article 548: 19.62 seconds
Article 549: 9.21 seconds
Article 550: 16.57 seconds
Article 551: 27.16 seconds
Article 552: 35.85 seconds
Article 553: 2.67 seconds
Article 554: 12.58 seconds
Article 555: 15.65 seconds
Article 556: 31.17 seconds
Article 557: 20.13 seconds
Article 558: 11.99 seconds
Article 559: 14.12 seconds
Article 560: 17.56 seconds
Article 561: 45.52 seconds
Article 562: 33.50 seconds
Article 563: 28.01 seconds
Article 564: 29.74 seconds
Article 565: 40.86 seconds
Article 566: 13.72 seconds
Article 567: 25.66 seconds
Article 568: 31.48 seconds
Article 569: 2.93 seconds
Article 570: 13.62 seconds
Article 571: 13.57 seconds
Article 572: 24.55 seconds
Article 573: 16.14 seconds
Article 574: 6.10 seconds
Article 575: 32.14 seconds
Article 576: 25.74 seconds
Article 577: 21.75 seconds
Article 578: 29.66 seconds
Article 579: 15.43 seconds
Article 580: 16.88 seconds
Article 581: 31.80 seconds
Article 582: 14.21 seconds
Article 583: 25.73 seconds
Article 584: 24.83 seconds
Article 585: 37.64 seconds
Article 586: 0.65 seconds
Article 587: 21.18 seconds
Article 588: 4.87 seconds
Article 589: 7.20 seconds
Article 590: 40.44 seconds
Article 591: 20.02 seconds
Article 592: 5.57 seconds
Article 593: 25.03 seconds
Article 594: 30.86 seconds
Article 595: 21.95 seconds
Article 596: 19.27 seconds
Article 597: 7.73 seconds
Article 598: 21.39 seconds
Article 599: 22.47 seconds
Article 600: 11.07 seconds
Article 601: 35.88 seconds
Article 602: 4.67 seconds
Article 603: 16.93 seconds
Article 604: 30.31 seconds
Article 605: 6.20 seconds
Article 606: 20.13 seconds
Article 607: 16.52 seconds
Article 608: 17.33 seconds
Article 609: 9.51 seconds
Article 610: 24.61 seconds
Article 611: 40.88 seconds
Article 612: 15.58 seconds
Article 613: 29.72 seconds
Article 614: 16.53 seconds
Article 615: 22.13 seconds
Article 616: 32.22 seconds
Article 617: 6.73 seconds
Article 618: 18.05 seconds
Article 619: 2.75 seconds
Article 620: 21.37 seconds
Article 621: 32.62 seconds
Article 622: 20.00 seconds
Article 623: 34.86 seconds
Article 624: 11.73 seconds
Article 625: 23.71 seconds
Article 626: 36.45 seconds
Article 627: 39.55 seconds
Article 628: 20.77 seconds
Article 629: 34.83 seconds
Article 630: 24.99 seconds
Article 631: 31.01 seconds
Article 632: 11.36 seconds
Article 633: 18.50 seconds
Article 634: 13.53 seconds
Article 635: 20.91 seconds
Article 636: 23.02 seconds
Article 637: 34.73 seconds
Article 638: 9.38 seconds
Article 639: 16.48 seconds
Article 640: 3.39 seconds
Article 641: 6.64 seconds
Article 642: 19.08 seconds
Article 643: 22.96 seconds
Article 644: 25.11 seconds
Article 645: 22.64 seconds
Article 646: 10.28 seconds
Article 647: 35.56 seconds
Article 648: 29.34 seconds
Article 649: 43.78 seconds
Article 650: 13.84 seconds
Article 651: 7.87 seconds
Article 652: 17.70 seconds
Article 653: 0.00 seconds
Article 654: 9.48 seconds
