Model: Mixtral-8x7B-Instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 31482.17 seconds
Average inference time per article: 15.4 seconds
Inference times per article:
Article 676: 22.83 seconds
Article 677: 23.87 seconds
Article 678: 17.85 seconds
Article 679: 5.88 seconds
Article 680: 1.79 seconds
Article 681: 15.01 seconds
Article 682: 24.50 seconds
Article 683: 17.64 seconds
Article 684: 15.80 seconds
Article 685: 15.10 seconds
Article 686: 3.11 seconds
Article 687: 11.96 seconds
Article 688: 6.13 seconds
Article 689: 23.90 seconds
Article 690: 6.71 seconds
Article 691: 10.09 seconds
Article 692: 14.24 seconds
Article 693: 28.29 seconds
Article 694: 2.48 seconds
Article 695: 3.80 seconds
Article 696: 18.77 seconds
Article 697: 3.03 seconds
Article 698: 11.72 seconds
Article 699: 25.44 seconds
Article 700: 24.43 seconds
Article 701: 6.54 seconds
Article 702: 13.11 seconds
Article 703: 24.14 seconds
Article 704: 28.03 seconds
Article 705: 3.89 seconds
Article 706: 2.22 seconds
Article 707: 11.00 seconds
Article 708: 10.70 seconds
Article 709: 4.40 seconds
Article 710: 21.09 seconds
Article 711: 25.69 seconds
Article 712: 28.18 seconds
Article 713: 0.55 seconds
Article 714: 5.96 seconds
Article 715: 3.03 seconds
Article 716: 0.96 seconds
Article 717: 18.30 seconds
Article 718: 7.20 seconds
Article 719: 20.08 seconds
Article 720: 21.76 seconds
Article 721: 13.78 seconds
Article 722: 21.72 seconds
Article 723: 7.21 seconds
Article 724: 2.11 seconds
Article 725: 10.23 seconds
Article 726: 6.55 seconds
Article 727: 32.56 seconds
Article 728: 19.17 seconds
Article 729: 10.14 seconds
Article 730: 22.85 seconds
Article 731: 18.91 seconds
Article 732: 27.75 seconds
Article 733: 22.07 seconds
Article 734: 15.89 seconds
Article 735: 13.70 seconds
Article 736: 21.57 seconds
Article 737: 16.96 seconds
Article 738: 16.16 seconds
Article 739: 30.72 seconds
Article 740: 21.00 seconds
Article 741: 7.34 seconds
Article 742: 12.69 seconds
Article 743: 20.21 seconds
Article 744: 13.38 seconds
Article 745: 24.38 seconds
Article 746: 24.91 seconds
Article 747: 21.17 seconds
Article 748: 24.01 seconds
Article 749: 21.94 seconds
Article 750: 18.43 seconds
Article 751: 4.20 seconds
Article 752: 16.74 seconds
Article 753: 29.09 seconds
Article 754: 10.17 seconds
Article 755: 9.14 seconds
Article 756: 14.87 seconds
Article 757: 10.40 seconds
Article 758: 1.22 seconds
Article 759: 12.71 seconds
Article 760: 8.64 seconds
Article 761: 26.11 seconds
Article 762: 2.93 seconds
Article 763: 11.78 seconds
Article 764: 18.27 seconds
Article 765: 21.25 seconds
