Model: gemma_7b-instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 21681.65 seconds
Average inference time per article: 10.2 seconds
Inference times per article:
Article 596: 19.91 seconds
Article 597: 29.93 seconds
Article 598: 13.85 seconds
Article 599: 6.74 seconds
Article 600: 13.98 seconds
Article 601: 7.91 seconds
Article 602: 23.67 seconds
Article 603: 11.97 seconds
Article 604: 23.49 seconds
Article 605: 4.61 seconds
Article 606: 7.23 seconds
Article 607: 4.45 seconds
Article 608: 19.15 seconds
Article 609: 18.21 seconds
Article 610: 3.85 seconds
Article 611: 9.53 seconds
Article 612: 31.40 seconds
Article 613: 4.65 seconds
Article 614: 9.90 seconds
Article 615: 4.64 seconds
Article 616: 11.54 seconds
Article 617: 14.88 seconds
Article 618: 2.25 seconds
Article 619: 16.07 seconds
Article 620: 19.27 seconds
Article 621: 0.00 seconds
Article 622: 15.71 seconds
Article 623: 0.00 seconds
Article 624: 16.40 seconds
Article 625: 8.62 seconds
Article 626: 15.55 seconds
Article 627: 15.50 seconds
Article 628: 3.20 seconds
Article 629: 6.91 seconds
Article 630: 1.31 seconds
Article 631: 25.97 seconds
Article 632: 2.33 seconds
Article 633: 0.00 seconds
Article 634: 11.54 seconds
Article 635: 10.10 seconds
Article 636: 6.95 seconds
Article 637: 13.85 seconds
Article 638: 2.81 seconds
Article 639: 3.82 seconds
Article 640: 17.80 seconds
Article 641: 6.76 seconds
Article 642: 10.23 seconds
Article 643: 24.44 seconds
Article 644: 8.83 seconds
Article 645: 19.72 seconds
Article 646: 19.02 seconds
Article 647: 2.15 seconds
Article 648: 15.25 seconds
Article 649: 21.90 seconds
Article 650: 5.94 seconds
Article 651: 21.72 seconds
Article 652: 0.89 seconds
Article 653: 7.06 seconds
Article 654: 18.12 seconds
Article 655: 9.01 seconds
Article 656: 4.33 seconds
Article 657: 0.00 seconds
Article 658: 0.00 seconds
Article 659: 19.75 seconds
Article 660: 3.28 seconds
Article 661: 0.00 seconds
Article 662: 13.63 seconds
Article 663: 0.00 seconds
Article 664: 10.61 seconds
Article 665: 0.00 seconds
Article 666: 5.13 seconds
Article 667: 4.48 seconds
Article 668: 9.28 seconds
Article 669: 4.49 seconds
Article 670: 3.02 seconds
Article 671: 16.74 seconds
Article 672: 0.00 seconds
Article 673: 2.19 seconds
Article 674: 27.76 seconds
Article 675: 17.73 seconds
Article 676: 4.71 seconds
Article 677: 12.70 seconds
Article 678: 0.79 seconds
Article 679: 10.89 seconds
Article 680: 14.59 seconds
Article 681: 15.69 seconds
Article 682: 12.30 seconds
Article 683: 11.33 seconds
Article 684: 22.57 seconds
Article 685: 1.92 seconds
Article 686: 18.22 seconds
Article 687: 5.76 seconds
Article 688: 0.00 seconds
Article 689: 12.60 seconds
Article 690: 9.58 seconds
Article 691: 17.64 seconds
Article 692: 33.04 seconds
Article 693: 9.74 seconds
Article 694: 22.01 seconds
Article 695: 0.00 seconds
Article 696: 0.00 seconds
Article 697: 21.43 seconds
Article 698: 26.76 seconds
Article 699: 2.26 seconds
Article 700: 3.62 seconds
Article 701: 9.90 seconds
Article 702: 5.44 seconds
Article 703: 9.89 seconds
Article 704: 13.67 seconds
Article 705: 0.00 seconds
Article 706: 0.00 seconds
Article 707: 3.45 seconds
Article 708: 27.69 seconds
Article 709: 18.75 seconds
Article 710: 1.03 seconds
Article 711: 8.51 seconds
Article 712: 21.31 seconds
Article 713: 0.00 seconds
Article 714: 15.67 seconds
Article 715: 1.32 seconds
Article 716: 0.00 seconds
Article 717: 16.76 seconds
Article 718: 13.13 seconds
Article 719: 32.47 seconds
Article 720: 0.11 seconds
Article 721: 17.00 seconds
Article 722: 29.61 seconds
Article 723: 20.59 seconds
Article 724: 19.43 seconds
Article 725: 12.33 seconds
Article 726: 1.18 seconds
Article 727: 7.96 seconds
Article 728: 22.87 seconds
Article 729: 4.93 seconds
Article 730: 5.84 seconds
Article 731: 14.31 seconds
Article 732: 14.43 seconds
Article 733: 11.48 seconds
Article 734: 9.55 seconds
Article 735: 0.00 seconds
Article 736: 0.00 seconds
Article 737: 1.35 seconds
Article 738: 0.75 seconds
Article 739: 17.29 seconds
Article 740: 18.02 seconds
Article 741: 2.50 seconds
Article 742: 18.61 seconds
Article 743: 24.90 seconds
Article 744: 3.02 seconds
Article 745: 12.24 seconds
Article 746: 16.92 seconds
Article 747: 7.26 seconds
Article 748: 18.24 seconds
Article 749: 0.00 seconds
Article 750: 9.81 seconds
Article 751: 14.62 seconds
Article 752: 14.48 seconds
Article 753: 5.24 seconds
Article 754: 0.00 seconds
Article 755: 19.99 seconds
Article 756: 4.88 seconds
Article 757: 17.00 seconds
Article 758: 13.75 seconds
Article 759: 0.00 seconds
Article 760: 0.00 seconds
Article 761: 11.25 seconds
Article 762: 28.91 seconds
Article 763: 13.40 seconds
Article 764: 0.00 seconds
Article 765: 2.44 seconds
Article 766: 7.09 seconds
Article 767: 4.73 seconds
Article 768: 6.76 seconds
Article 769: 14.85 seconds
Article 770: 9.18 seconds
Article 771: 10.29 seconds
Article 772: 1.67 seconds
Article 773: 9.16 seconds
Article 774: 6.06 seconds
Article 775: 5.73 seconds
Article 776: 17.40 seconds
Article 777: 12.52 seconds
Article 778: 21.11 seconds
Article 779: 23.05 seconds
Article 780: 9.88 seconds
Article 781: 2.14 seconds
Article 782: 9.21 seconds
Article 783: 14.64 seconds
Article 784: 13.56 seconds
Article 785: 11.85 seconds
Article 786: 16.75 seconds
Article 787: 20.26 seconds
Article 788: 0.00 seconds
Article 789: 15.96 seconds
Article 790: 2.82 seconds
Article 791: 6.10 seconds
Article 792: 7.73 seconds
Article 793: 6.38 seconds
Article 794: 6.71 seconds
Article 795: 19.20 seconds
Article 796: 20.11 seconds
Article 797: 9.46 seconds
Article 798: 6.59 seconds
Article 799: 13.74 seconds
Article 800: 15.69 seconds
Article 801: 27.59 seconds
Article 802: 0.00 seconds
Article 803: 8.28 seconds
Article 804: 8.63 seconds
Article 805: 26.60 seconds
Article 806: 6.83 seconds
Article 807: 11.38 seconds
Article 808: 1.69 seconds
Article 809: 10.60 seconds
Article 810: 8.92 seconds
Article 811: 0.52 seconds
Article 812: 0.00 seconds
Article 813: 17.31 seconds
Article 814: 0.00 seconds
Article 815: 20.44 seconds
Article 816: 0.17 seconds
Article 817: 13.09 seconds
Article 818: 23.46 seconds
Article 819: 0.00 seconds
Article 820: 14.06 seconds
Article 821: 0.00 seconds
Article 822: 21.49 seconds
Article 823: 3.48 seconds
Article 824: 28.86 seconds
Article 825: 21.73 seconds
Article 826: 20.09 seconds
Article 827: 0.00 seconds
Article 828: 0.00 seconds
Article 829: 17.57 seconds
Article 830: 13.59 seconds
Article 831: 13.96 seconds
Article 832: 11.55 seconds
Article 833: 22.69 seconds
Article 834: 19.26 seconds
Article 835: 17.26 seconds
Article 836: 0.00 seconds
Article 837: 8.81 seconds
Article 838: 14.47 seconds
Article 839: 0.00 seconds
Article 840: 0.87 seconds
Article 841: 16.92 seconds
Article 842: 5.52 seconds
Article 843: 14.79 seconds
Article 844: 5.15 seconds
Article 845: 2.51 seconds
Article 846: 11.36 seconds
Article 847: 9.77 seconds
Article 848: 13.19 seconds
Article 849: 12.61 seconds
Article 850: 0.85 seconds
Article 851: 9.30 seconds
Article 852: 8.85 seconds
Article 853: 8.73 seconds
Article 854: 8.73 seconds
Article 855: 17.56 seconds
Article 856: 0.00 seconds
Article 857: 3.09 seconds
Article 858: 15.59 seconds
Article 859: 0.00 seconds
Article 860: 1.91 seconds
Article 861: 9.40 seconds
Article 862: 21.33 seconds
Article 863: 15.40 seconds
Article 864: 2.09 seconds
Article 865: 5.61 seconds
Article 866: 2.97 seconds
Article 867: 8.22 seconds
Article 868: 2.77 seconds
Article 869: 13.88 seconds
Article 870: 11.73 seconds
Article 871: 1.06 seconds
Article 872: 15.10 seconds
Article 873: 4.63 seconds
Article 874: 26.42 seconds
Article 875: 13.27 seconds
Article 876: 0.00 seconds
Article 877: 9.36 seconds
Article 878: 15.64 seconds
Article 879: 15.14 seconds
Article 880: 3.44 seconds
Article 881: 2.95 seconds
Article 882: 4.60 seconds
Article 883: 12.52 seconds
Article 884: 15.22 seconds
Article 885: 0.00 seconds
Article 886: 37.90 seconds
Article 887: 0.15 seconds
Article 888: 1.34 seconds
Article 889: 0.00 seconds
Article 890: 9.04 seconds
Article 891: 14.37 seconds
Article 892: 18.82 seconds
Article 893: 11.57 seconds
Article 894: 0.00 seconds
Article 895: 8.23 seconds
Article 896: 16.57 seconds
Article 897: 20.73 seconds
Article 898: 0.00 seconds
Article 899: 6.58 seconds
Article 900: 0.00 seconds
Article 901: 24.11 seconds
Article 902: 6.90 seconds
Article 903: 5.90 seconds
Article 904: 7.77 seconds
Article 905: 7.24 seconds
Article 906: 10.25 seconds
Article 907: 31.45 seconds
Article 908: 20.49 seconds
Article 909: 9.91 seconds
Article 910: 14.10 seconds
Article 911: 24.33 seconds
Article 912: 22.14 seconds
Article 913: 11.77 seconds
Article 914: 13.16 seconds
Article 915: 14.77 seconds
Article 916: 0.00 seconds
Article 917: 12.21 seconds
Article 918: 7.94 seconds
Article 919: 13.42 seconds
Article 920: 24.97 seconds
Article 921: 0.00 seconds
Article 922: 10.76 seconds
Article 923: 18.52 seconds
Article 924: 3.83 seconds
