Model: gemma_7b-instruct
Dataset: ArXiv.json
Temperature: 0.1
Total inference time: 126800.29 seconds
Average inference time per article: 63.4 seconds
Inference times per article:
Article 597: 49.74 seconds
Article 598: 61.40 seconds
Article 599: 51.43 seconds
Article 600: 58.82 seconds
Article 601: 53.03 seconds
Article 602: 71.13 seconds
Article 603: 43.84 seconds
Article 604: 62.79 seconds
Article 605: 49.76 seconds
Article 606: 50.82 seconds
Article 607: 60.49 seconds
Article 608: 54.13 seconds
Article 609: 72.73 seconds
Article 610: 56.00 seconds
Article 611: 51.54 seconds
Article 612: 69.65 seconds
Article 613: 78.06 seconds
Article 614: 80.92 seconds
Article 615: 61.23 seconds
Article 616: 74.06 seconds
Article 617: 60.24 seconds
Article 618: 65.02 seconds
Article 619: 62.68 seconds
Article 620: 64.03 seconds
Article 621: 74.63 seconds
Article 622: 65.67 seconds
Article 623: 60.60 seconds
Article 624: 72.09 seconds
Article 625: 65.99 seconds
Article 626: 74.57 seconds
Article 627: 71.47 seconds
Article 628: 73.85 seconds
Article 629: 58.88 seconds
Article 630: 77.34 seconds
Article 631: 70.14 seconds
Article 632: 68.96 seconds
Article 633: 66.80 seconds
Article 634: 72.48 seconds
Article 635: 72.17 seconds
Article 636: 48.68 seconds
Article 637: 82.14 seconds
Article 638: 61.44 seconds
Article 639: 61.82 seconds
Article 640: 67.08 seconds
Article 641: 69.89 seconds
Article 642: 75.35 seconds
Article 643: 59.82 seconds
Article 644: 60.65 seconds
Article 645: 49.33 seconds
Article 646: 77.96 seconds
Article 647: 63.93 seconds
Article 648: 65.62 seconds
Article 649: 62.83 seconds
Article 650: 47.50 seconds
Article 651: 58.43 seconds
Article 652: 66.66 seconds
Article 653: 62.69 seconds
Article 654: 42.58 seconds
Article 655: 58.09 seconds
Article 656: 58.98 seconds
Article 657: 63.83 seconds
Article 658: 61.99 seconds
Article 659: 48.92 seconds
Article 660: 67.43 seconds
Article 661: 50.95 seconds
Article 662: 62.73 seconds
Article 663: 74.97 seconds
Article 664: 69.84 seconds
Article 665: 56.76 seconds
Article 666: 59.57 seconds
Article 667: 66.15 seconds
Article 668: 71.11 seconds
Article 669: 76.99 seconds
Article 670: 53.48 seconds
Article 671: 75.31 seconds
Article 672: 63.31 seconds
Article 673: 66.31 seconds
Article 674: 68.53 seconds
Article 675: 60.85 seconds
Article 676: 58.55 seconds
Article 677: 67.88 seconds
Article 678: 67.34 seconds
Article 679: 58.60 seconds
Article 680: 71.54 seconds
Article 681: 75.04 seconds
Article 682: 50.70 seconds
Article 683: 58.33 seconds
Article 684: 65.43 seconds
Article 685: 62.75 seconds
Article 686: 54.44 seconds
Article 687: 66.80 seconds
