Model: gemma_7b-instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 47553.49 seconds
Average inference time per article: 23.8 seconds
Inference times per article:
Article 713: 27.67 seconds
Article 714: 31.02 seconds
Article 715: 20.71 seconds
Article 716: 30.78 seconds
Article 717: 23.40 seconds
Article 718: 26.45 seconds
Article 719: 23.65 seconds
Article 720: 16.25 seconds
Article 721: 30.51 seconds
Article 722: 31.15 seconds
Article 723: 19.03 seconds
Article 724: 12.18 seconds
Article 725: 10.30 seconds
Article 726: 29.95 seconds
Article 727: 40.93 seconds
Article 728: 36.99 seconds
Article 729: 4.59 seconds
Article 730: 18.28 seconds
Article 731: 27.28 seconds
Article 732: 16.33 seconds
Article 733: 17.24 seconds
Article 734: 25.29 seconds
Article 735: 23.18 seconds
Article 736: 21.69 seconds
Article 737: 19.28 seconds
Article 738: 31.49 seconds
Article 739: 21.24 seconds
Article 740: 20.20 seconds
Article 741: 40.99 seconds
Article 742: 26.50 seconds
Article 743: 23.64 seconds
Article 744: 41.08 seconds
Article 745: 24.19 seconds
Article 746: 33.81 seconds
Article 747: 23.02 seconds
Article 748: 18.40 seconds
Article 749: 15.52 seconds
Article 750: 30.19 seconds
Article 751: 29.50 seconds
Article 752: 47.01 seconds
Article 753: 20.46 seconds
Article 754: 2.94 seconds
Article 755: 28.76 seconds
Article 756: 30.58 seconds
Article 757: 15.56 seconds
Article 758: 14.63 seconds
Article 759: 0.00 seconds
Article 760: 39.86 seconds
Article 761: 38.69 seconds
Article 762: 17.36 seconds
Article 763: 14.93 seconds
Article 764: 17.70 seconds
Article 765: 37.55 seconds
Article 766: 18.60 seconds
Article 767: 9.89 seconds
Article 768: 2.65 seconds
Article 769: 35.93 seconds
Article 770: 18.18 seconds
Article 771: 6.66 seconds
Article 772: 28.60 seconds
Article 773: 26.06 seconds
Article 774: 22.56 seconds
Article 775: 21.06 seconds
Article 776: 10.62 seconds
Article 777: 4.24 seconds
Article 778: 16.20 seconds
Article 779: 15.86 seconds
Article 780: 34.22 seconds
Article 781: 20.52 seconds
Article 782: 29.46 seconds
Article 783: 25.28 seconds
Article 784: 20.51 seconds
Article 785: 10.81 seconds
Article 786: 2.42 seconds
Article 787: 3.80 seconds
Article 788: 32.86 seconds
Article 789: 8.77 seconds
Article 790: 28.59 seconds
Article 791: 44.37 seconds
Article 792: 24.73 seconds
Article 793: 32.81 seconds
Article 794: 29.36 seconds
Article 795: 14.31 seconds
Article 796: 17.96 seconds
Article 797: 28.15 seconds
Article 798: 13.32 seconds
Article 799: 5.85 seconds
Article 800: 33.53 seconds
Article 801: 20.71 seconds
Article 802: 12.68 seconds
Article 803: 21.83 seconds
Article 804: 20.10 seconds
Article 805: 13.37 seconds
Article 806: 30.92 seconds
Article 807: 23.36 seconds
Article 808: 3.08 seconds
Article 809: 18.05 seconds
Article 810: 3.40 seconds
Article 811: 42.59 seconds
Article 812: 14.11 seconds
Article 813: 48.46 seconds
Article 814: 11.14 seconds
Article 815: 27.30 seconds
Article 816: 11.90 seconds
Article 817: 13.29 seconds
Article 818: 44.05 seconds
Article 819: 24.08 seconds
Article 820: 51.67 seconds
Article 821: 33.50 seconds
Article 822: 45.70 seconds
Article 823: 43.80 seconds
Article 824: 25.91 seconds
Article 825: 22.18 seconds
Article 826: 18.08 seconds
Article 827: 23.77 seconds
Article 828: 20.02 seconds
Article 829: 35.71 seconds
Article 830: 9.30 seconds
Article 831: 12.98 seconds
Article 832: 32.95 seconds
Article 833: 12.55 seconds
Article 834: 0.44 seconds
Article 835: 1.98 seconds
Article 836: 29.29 seconds
Article 837: 19.21 seconds
Article 838: 3.23 seconds
Article 839: 30.76 seconds
Article 840: 39.74 seconds
Article 841: 6.74 seconds
Article 842: 29.29 seconds
Article 843: 31.15 seconds
Article 844: 27.18 seconds
Article 845: 32.97 seconds
